date,mission_name,distribute_num,finish_num,alive_finish_num,killed_finish_num
2020-10-20,chart_course,19178,5428,4357,1071
2020-10-20,clear_asteroids,16574,5464,4700,764
2020-10-20,connect_power,77055,13341,8614,4727
2020-10-20,empty_chute,19746,5910,4650,1260
2020-10-20,fix_wire,63718,12946,8993,3953
2020-10-20,fuel_engines,55620,5956,3580,2376
2020-10-20,prime_shields,19523,5591,4441,1150
2020-10-20,stabilize_steering,16069,3890,3051,839
2020-10-20,submit_scan,54424,17926,14463,3463
2020-10-20,swipe_card,46326,7622,6303,1319
2020-10-20,transfer_file,32989,6636,4721,1915
2020-10-20,unlock_manifolds,18954,5195,4097,1098
2020-10-21,chart_course,32552,16869,13589,3280
2020-10-21,clear_asteroids,32560,21143,18412,2731
2020-10-21,connect_power,137244,45553,29532,16021
2020-10-21,empty_chute,32643,17394,13950,3444
2020-10-21,fix_wire,97844,37991,26420,11571
2020-10-21,fuel_engines,97658,21117,12837,8280
2020-10-21,prime_shields,32745,17171,13644,3527
2020-10-21,stabilize_steering,32796,16562,13375,3187
2020-10-21,submit_scan,97980,57515,45985,11530
2020-10-21,swipe_card,97794,42765,36970,5795
2020-10-21,transfer_file,58394,22433,16225,6208
2020-10-21,unlock_manifolds,32342,14712,11659,3053
2020-10-22,chart_course,87397,46159,37859,8300
2020-10-22,clear_asteroids,87623,57824,50948,6876
2020-10-22,connect_power,367860,126232,84687,41545
2020-10-22,empty_chute,88114,47609,38680,8929
2020-10-22,fix_wire,261400,100509,71834,28675
2020-10-22,fuel_engines,262789,59392,37666,21726
2020-10-22,prime_shields,87155,46870,38133,8737
2020-10-22,stabilize_steering,87687,45629,37152,8477
2020-10-22,submit_scan,262907,156849,127803,29046
2020-10-22,swipe_card,264296,169542,148901,20641
2020-10-22,transfer_file,157836,62425,46008,16417
2020-10-22,unlock_manifolds,87720,40897,32822,8075
2020-10-23,chart_course,116660,66502,52822,13680
2020-10-23,clear_asteroids,116994,80072,67680,12392
2020-10-23,connect_power,491066,201121,126227,74894
2020-10-23,empty_chute,116280,68330,53843,14487
2020-10-23,fix_wire,350943,158427,105533,52894
2020-10-23,fuel_engines,350772,102570,57094,45476
2020-10-23,prime_shields,117744,68376,54222,14154
2020-10-23,stabilize_steering,117103,66218,52413,13805
2020-10-23,submit_scan,351048,220249,172915,47334
2020-10-23,swipe_card,350877,240655,205449,35206
2020-10-23,transfer_file,210754,95294,65271,30023
2020-10-23,unlock_manifolds,117039,61112,47384,13728
2020-10-24,chart_course,158368,88862,68898,19964
2020-10-24,clear_asteroids,158702,107213,88913,18300
2020-10-24,connect_power,664657,277422,166509,110913
2020-10-24,empty_chute,158070,92834,71198,21636
2020-10-24,fix_wire,475161,215297,137545,77752
2020-10-24,fuel_engines,474347,143236,75166,68070
2020-10-24,prime_shields,157690,91951,71967,19984
2020-10-24,stabilize_steering,158487,88777,68464,20313
2020-10-24,submit_scan,475329,298447,228937,69510
2020-10-24,swipe_card,474515,322471,269673,52798
2020-10-24,transfer_file,285019,128955,85101,43854
2020-10-24,unlock_manifolds,158359,81604,61865,19739
2020-10-25,chart_course,270984,142890,112597,30293
2020-10-25,clear_asteroids,271207,176226,148894,27332
2020-10-25,connect_power,1138089,425056,260781,164275
2020-10-25,empty_chute,271722,149878,117064,32814
2020-10-25,fix_wire,815659,333443,217385,116058
2020-10-25,fuel_engines,813411,214339,116880,97459
2020-10-25,prime_shields,270650,148529,117758,30771
2020-10-25,stabilize_steering,270867,143885,113305,30580
2020-10-25,submit_scan,812228,480768,373797,106971
2020-10-25,swipe_card,809980,526107,446182,79925
2020-10-25,transfer_file,487550,201416,136097,65319
2020-10-25,unlock_manifolds,270209,129242,99323,29919
2020-10-26,chart_course,311094,158295,127651,30644
2020-10-26,clear_asteroids,309990,197653,169750,27903
2020-10-26,connect_power,1304713,455019,291877,163142
2020-10-26,empty_chute,311084,170322,136993,33329
2020-10-26,fix_wire,932515,367552,251918,115634
2020-10-26,fuel_engines,933450,215049,120223,94826
2020-10-26,prime_shields,310454,164441,133565,30876
2020-10-26,stabilize_steering,311477,157980,126924,31056
2020-10-26,submit_scan,931881,535420,423466,111954
2020-10-26,swipe_card,932816,617033,538924,78109
2020-10-26,transfer_file,560618,220739,155292,65447
2020-10-26,unlock_manifolds,311232,145850,115706,30144
2020-10-27,chart_course,169202,87962,70903,17059
2020-10-27,clear_asteroids,168840,108662,93264,15398
2020-10-27,connect_power,710128,260539,170522,90017
2020-10-27,empty_chute,169121,96581,78161,18420
2020-10-27,fix_wire,507606,212828,148486,64342
2020-10-27,fuel_engines,507052,120768,68253,52515
2020-10-27,prime_shields,169482,92519,75119,17400
2020-10-27,stabilize_steering,169310,88015,70945,17070
2020-10-27,submit_scan,507742,298503,235527,62976
2020-10-27,swipe_card,507188,351142,309776,41366
2020-10-27,transfer_file,304666,126548,89890,36658
2020-10-27,unlock_manifolds,168839,83193,66596,16597
