date,position,kill_num
2020-10-20,Cafeteria,4566
2020-10-20,Storage,3431
2020-10-20,Electrical,2213
2020-10-20,Admin,2204
2020-10-20,Medbay,1598
2020-10-20,Security,1327
2020-10-20,Weapon,1250
2020-10-20,CorriderLB,1195
2020-10-20,CorriderL,1062
2020-10-20,EngineU,958
2020-10-20,CorriderR,906
2020-10-20,Oxygen,876
2020-10-20,Navigation,858
2020-10-20,Reactor,748
2020-10-20,CorriderLT,714
2020-10-20,EngineL,712
2020-10-20,Shield,612
2020-10-20,Chat,522
2020-10-20,CorriderM,391
2020-10-20,CorriderRB,346
2020-10-20,Ready,1
2020-10-21,Cafeteria,11124
2020-10-21,Storage,9205
2020-10-21,Admin,7934
2020-10-21,Security,7391
2020-10-21,Electrical,6702
2020-10-21,Medbay,5001
2020-10-21,Weapon,3934
2020-10-21,CorriderLB,3634
2020-10-21,CorriderL,3393
2020-10-21,Oxygen,2930
2020-10-21,EngineU,2859
2020-10-21,Navigation,2564
2020-10-21,CorriderR,2535
2020-10-21,Reactor,2410
2020-10-21,EngineL,2224
2020-10-21,CorriderLT,1987
2020-10-21,Shield,1587
2020-10-21,Chat,1520
2020-10-21,CorriderM,1162
2020-10-21,CorriderRB,1113
2020-10-21,Ready,2
2020-10-22,Cafeteria,34005
2020-10-22,Storage,24090
2020-10-22,Security,22284
2020-10-22,Admin,19355
2020-10-22,Electrical,17290
2020-10-22,Medbay,13665
2020-10-22,Weapon,10911
2020-10-22,CorriderLB,9111
2020-10-22,CorriderL,8941
2020-10-22,EngineU,8066
2020-10-22,Oxygen,7839
2020-10-22,Navigation,7132
2020-10-22,CorriderR,6993
2020-10-22,Reactor,6448
2020-10-22,EngineL,5858
2020-10-22,CorriderLT,5326
2020-10-22,Chat,4187
2020-10-22,Shield,3971
2020-10-22,CorriderM,3051
2020-10-22,CorriderRB,2754
2020-10-22,Ready,9
2020-10-23,Cafeteria,55947
2020-10-23,Storage,37491
2020-10-23,Admin,26210
2020-10-23,Security,25958
2020-10-23,Electrical,24294
2020-10-23,Medbay,18749
2020-10-23,Weapon,16203
2020-10-23,CorriderLB,15836
2020-10-23,CorriderL,14878
2020-10-23,EngineU,12134
2020-10-23,CorriderR,10766
2020-10-23,Navigation,9924
2020-10-23,EngineL,9860
2020-10-23,CorriderLT,9281
2020-10-23,Oxygen,9126
2020-10-23,Reactor,8589
2020-10-23,CorriderM,6134
2020-10-23,Shield,5922
2020-10-23,Chat,5540
2020-10-23,CorriderRB,4397
2020-10-23,Ready,128
2020-10-24,Cafeteria,83917
2020-10-24,Storage,53411
2020-10-24,Admin,36300
2020-10-24,Electrical,33897
2020-10-24,Security,31908
2020-10-24,Medbay,25791
2020-10-24,CorriderLB,22558
2020-10-24,Weapon,22527
2020-10-24,CorriderL,20984
2020-10-24,EngineU,17012
2020-10-24,CorriderR,15553
2020-10-24,CorriderLT,13747
2020-10-24,EngineL,13537
2020-10-24,Navigation,13121
2020-10-24,Oxygen,12429
2020-10-24,Reactor,10972
2020-10-24,CorriderM,9877
2020-10-24,Shield,8063
2020-10-24,Chat,7588
2020-10-24,CorriderRB,6429
2020-10-24,Ready,328
2020-10-25,Cafeteria,137290
2020-10-25,Storage,86512
2020-10-25,Admin,63596
2020-10-25,Electrical,58112
2020-10-25,Security,53719
2020-10-25,Medbay,43607
2020-10-25,Weapon,37434
2020-10-25,CorriderLB,35969
2020-10-25,CorriderL,34223
2020-10-25,EngineU,27719
2020-10-25,CorriderR,25901
2020-10-25,Oxygen,22791
2020-10-25,Navigation,21783
2020-10-25,CorriderLT,21740
2020-10-25,EngineL,21035
2020-10-25,Reactor,19409
2020-10-25,CorriderM,15473
2020-10-25,Shield,13537
2020-10-25,Chat,12668
2020-10-25,CorriderRB,10614
2020-10-25,Ready,396
2020-10-26,Cafeteria,131070
2020-10-26,Storage,94580
2020-10-26,Admin,76786
2020-10-26,Electrical,68670
2020-10-26,Security,59218
2020-10-26,Medbay,49353
2020-10-26,Weapon,42228
2020-10-26,CorriderLB,39509
2020-10-26,CorriderL,38054
2020-10-26,EngineU,29653
2020-10-26,CorriderR,29056
2020-10-26,Oxygen,28336
2020-10-26,Navigation,25900
2020-10-26,Reactor,23975
2020-10-26,CorriderLT,22704
2020-10-26,EngineL,21593
2020-10-26,CorriderM,17057
2020-10-26,Shield,14787
2020-10-26,Chat,14285
2020-10-26,CorriderRB,12073
2020-10-26,Ready,206
2020-10-27,Cafeteria,79346
2020-10-27,Storage,59499
2020-10-27,Admin,51133
2020-10-27,Electrical,46873
2020-10-27,Security,39845
2020-10-27,Medbay,32113
2020-10-27,Weapon,26982
2020-10-27,CorriderLB,26028
2020-10-27,CorriderL,24501
2020-10-27,Oxygen,20137
2020-10-27,CorriderR,18884
2020-10-27,EngineU,18675
2020-10-27,Navigation,16979
2020-10-27,Reactor,16015
2020-10-27,CorriderLT,14592
2020-10-27,EngineL,13835
2020-10-27,CorriderM,10713
2020-10-27,Shield,9143
2020-10-27,Chat,8910
2020-10-27,CorriderRB,7636
2020-10-27,Ready,70
